state,droveAlone20to24yrs,fivePlusYears
AK,11.6,13.2
AZ,10.6,8.4
AL,9.8,8.3
AR,9.9,10.1
CA,9.5,7.5
DE,9.1,4.7
FL,9.0,8.0
CO,9.6,8.8
GA,9.2,7.1
CT,8.0,5.3
HI,9.3,8.7
ID,10.5,14.4
IN,9.5,11.6
IL,8.8,7.7
KS,9.8,8.5
IA,9.6,8.2
KY,10.1,8.8
ME,7.6,7.1
MI,10.1,6.1
LA,9.8,6.4
MN,9.1,6.6
MD,7.8,3.5
MO,9.9,9.5
NE,10.2,8.8
MA,8.0,3.0
NH,8.3,6.4
MS,9.0,9.1
NM,11.2,10.2
MT,9.9,10.8
NV,9.8,9.3
NJ,7.9,4.1
NY,8.1,4.8
NC,9.2,5.8
OH,9.1,8.4
ND,13.5,10.9
OK,10.4,10.9
RI,8.6,3.4
OR,8.8,9.7
SC,9.5,9.7
PA,8.0,6.6
SD,9.9,10.8
VA,9.2,6.8
WI,9.5,7.1
WY,10.0,13.8
TN,9.4,7.2
TX,10.0,8.4
UT,12.8,10.8
VT,8.2,6.2
WA,9.3,8.8
WV,8.8,7.5
