,city_id,url,city,country,lat,lon,temp,wind,clouds,humidity
0,4481682,http://api.openweathermap.org/data/2.5/weather?id=4481682&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,New Bern,US,35.11,-77.04,51.8,4.5,90,76
1,1694158,http://api.openweathermap.org/data/2.5/weather?id=1694158&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Paypay,PH,11.22,123.98,80.01,8.19,8,100
2,462522,http://api.openweathermap.org/data/2.5/weather?id=462522&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Zimovniki,RU,47.15,42.46,43.56,16.02,88,85
3,2646658,http://api.openweathermap.org/data/2.5/weather?id=2646658&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Honiton,GB,50.8,-3.19,50,5.82,92,100
4,2812036,http://api.openweathermap.org/data/2.5/weather?id=2812036&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Weissbach,DE,49.3,9.6,33.8,8.05,90,97
5,6698718,http://api.openweathermap.org/data/2.5/weather?id=6698718&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Aarle-Rixtel,NL,51.51,5.64,39.2,14.99,75,93
6,1696684,http://api.openweathermap.org/data/2.5/weather?id=1696684&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Pagalungan,PH,7.06,124.7,78.75,2.37,12,79
7,3166655,http://api.openweathermap.org/data/2.5/weather?id=3166655&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Serra San Quirico,IT,43.45,13.02,37.4,4.7,20,86
8,2658502,http://api.openweathermap.org/data/2.5/weather?id=2658502&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Stansstad,CH,46.98,8.34,30.2,3.36,0,74
9,705673,http://api.openweathermap.org/data/2.5/weather?id=705673&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Klenovyy,UA,48.12,39.46,40.32,13.11,56,94
10,5206397,http://api.openweathermap.org/data/2.5/weather?id=5206397&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Pittston,US,41.33,-75.79,30.2,2.26,1,80
11,6064180,http://api.openweathermap.org/data/2.5/weather?id=6064180&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Magog,CA,45.27,-72.15,1.4,3.36,1,84
12,2807068,http://api.openweathermap.org/data/2.5/weather?id=2807068&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Wohldorf-Ohlstedt,DE,53.69,10.13,35.6,10.29,90,96
13,2737599,http://api.openweathermap.org/data/2.5/weather?id=2737599&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Mogadouro,PT,41.34,-6.71,22.05,2.59,8,77
14,2271985,http://api.openweathermap.org/data/2.5/weather?id=2271985&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Alges,PT,38.7,-9.23,42.8,4.7,0,75
15,2896547,http://api.openweathermap.org/data/2.5/weather?id=2896547&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Illerrieden,DE,48.27,10.05,32,5.82,75,86
16,6534330,http://api.openweathermap.org/data/2.5/weather?id=6534330&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Mombercelli,IT,44.82,8.29,44.6,5.82,0,26
17,3121679,http://api.openweathermap.org/data/2.5/weather?id=3121679&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Gallur,ES,41.87,-1.32,42.8,14.99,20,75
18,1184008,http://api.openweathermap.org/data/2.5/weather?id=1184008&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Bagarji,PK,27.76,68.75,45.18,4.72,0,80
19,717652,http://api.openweathermap.org/data/2.5/weather?id=717652&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Mezokovesd,HU,47.82,20.58,20.84,2.71,0,100
20,4839822,http://api.openweathermap.org/data/2.5/weather?id=4839822&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Norwalk,US,41.12,-73.41,35.6,2.59,20,74
21,5208641,http://api.openweathermap.org/data/2.5/weather?id=5208641&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Rochester,US,40.7,-80.29,35.6,4.61,90,93
22,3029931,http://api.openweathermap.org/data/2.5/weather?id=3029931&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Bron,FR,45.73,4.92,32,2.93,36,100
23,2507480,http://api.openweathermap.org/data/2.5/weather?id=2507480&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Algiers,DZ,36.75,3.04,42.8,2.24,40,93
24,2269282,http://api.openweathermap.org/data/2.5/weather?id=2269282&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Charneca,PT,38.62,-9.19,42.8,4.7,0,75
25,1269217,http://api.openweathermap.org/data/2.5/weather?id=1269217&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Jaora,IN,23.63,75.13,52.07,7.74,56,52
26,4321399,http://api.openweathermap.org/data/2.5/weather?id=4321399&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Cut Off,US,29.54,-90.34,68,3.36,90,93
27,3579767,http://api.openweathermap.org/data/2.5/weather?id=3579767&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Baie-Mahault,GP,16.27,-61.59,75.2,2.24,20,78
28,1852901,http://api.openweathermap.org/data/2.5/weather?id=1852901&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Sasayama,JP,35.07,135.22,41,3.36,20,55
29,3060208,http://api.openweathermap.org/data/2.5/weather?id=3060208&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Gbely,SK,48.72,17.12,33.8,2.24,0,92
30,742657,http://api.openweathermap.org/data/2.5/weather?id=742657&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Korgun,TR,40.73,33.52,40.82,6.17,88,96
31,2639941,http://api.openweathermap.org/data/2.5/weather?id=2639941&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Poynton,GB,53.35,-2.12,41,5.82,8,86
32,660949,http://api.openweathermap.org/data/2.5/weather?id=660949&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Asikkala,FI,61.22,25.5,29.39,6.06,88,91
33,1710249,http://api.openweathermap.org/data/2.5/weather?id=1710249&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Javalera,PH,14.25,120.92,75.2,4.7,90,100
34,106909,http://api.openweathermap.org/data/2.5/weather?id=106909&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Zbe,SA,27.35,35.69,67.41,5.73,0,100
35,2859843,http://api.openweathermap.org/data/2.5/weather?id=2859843&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Oberlungwitz,DE,50.78,12.72,28.4,2.24,75,92
36,2267095,http://api.openweathermap.org/data/2.5/weather?id=2267095&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Leiria,PT,39.74,-8.81,37.4,2.24,0,100
37,3183321,http://api.openweathermap.org/data/2.5/weather?id=3183321&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Albiate,IT,45.66,9.26,37.4,1.12,0,58
38,3044151,http://api.openweathermap.org/data/2.5/weather?id=3044151&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Tapioszele,HU,47.34,19.88,28.4,1.12,0,92
39,1703599,http://api.openweathermap.org/data/2.5/weather?id=1703599&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Mahayag,PH,7.22,125.62,80.6,4.7,75,78
40,764194,http://api.openweathermap.org/data/2.5/weather?id=764194&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Nadarzyn,PL,52.09,20.81,30.2,2.93,20,100
41,2503852,http://api.openweathermap.org/data/2.5/weather?id=2503852&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Birine,DZ,35.63,3.23,34.38,3.15,20,93
42,147105,http://api.openweathermap.org/data/2.5/weather?id=147105&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Shushi,AZ,39.76,46.75,24.44,2.59,8,75
43,3165584,http://api.openweathermap.org/data/2.5/weather?id=3165584&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Tolmezzo,IT,46.41,13.02,23.72,3.15,0,72
44,2043531,http://api.openweathermap.org/data/2.5/weather?id=2043531&units=imperial&APPID=0c715aff73757bce5f32aba6da14fd45,Kapsan-up,KP,41.09,128.29,4.68,4.16,0,61
