station,name,latitude,longitude,elevation,date,prcp,tobs,month,day,year
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/1/10,0.08,65,1,1,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/2/10,0,63,1,2,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/3/10,0,74,1,3,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/4/10,0,76,1,4,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/6/10,0.040085837,73,1,6,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/7/10,0.06,70,1,7,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/8/10,0,64,1,8,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/9/10,0,68,1,9,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/10/10,0,73,1,10,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/11/10,0.01,64,1,11,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/12/10,0,61,1,12,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/14/10,0,66,1,14,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/15/10,0,65,1,15,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/16/10,0,68,1,16,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/17/10,0,64,1,17,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/18/10,0,72,1,18,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/19/10,0,66,1,19,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/20/10,0,66,1,20,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/21/10,0,69,1,21,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/22/10,0,67,1,22,2010
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/23/10,0,67,1,23,2010
